SECTION 1----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

HEADER
ff ff 53 00

METADATA                                    # COORDINATES   COORDINATES
01 00 00 80 3f 00 00 80 3f 64 00 00 00 00   15 00           47 01 7b 01 98 01 58 01 a0 01 5e 01 d8 01 4e 01 d2 01 48 01 e5 01 3b 01 f2 01 37 01 f9 01 2f 01 07 02 1e 01 12 02 1c 01 21 02 14 01 45 02 10 01 5d 02 10 01 5e 02 23 01 34 02 26 01 1e 02 31 01 0a 02 41 01 e7 01 55 01 dd 01 54 01 90 01 6c 01 54 01 89 01
01 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           36 03 9c 01 4d 03 9c 01 4d 03 ad 01 2d 03 ae 01
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           6b 03 7e 00 9a 03 5d 00 b1 03 69 00 89 03 87 00
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           cf 02 a0 01 e2 02 95 01 f1 02 9a 01 e1 02 ac 01
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   03 00           03 02 ca 01 2c 02 ab 01 35 02 c6 01
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   03 00           0d 03 66 02 41 03 44 02 33 03 66 02
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           a5 04 3b 02 b1 04 2a 02 ca 04 2f 02 c2 04 48 02
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   03 00           00 00 54 02 0e 00 4b 02 21 00 58 02
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           ae 01 fa 02 c8 02 f8 02 ca 02 03 03 b1 01 05 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           b6 01 1b 03 29 03 1a 03 2c 03 27 03 bc 01 29 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           c1 01 3b 03 69 03 37 03 79 03 47 03 c5 01 48 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           ca 01 5d 03 ec 03 58 03 f5 03 66 03 cf 01 6a 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           d3 01 7c 03 32 04 73 03 3a 04 83 03 d7 01 89 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           dd 01 9a 03 5d 04 95 03 63 04 a4 03 e0 01 a8 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           e1 01 bc 03 63 04 ba 03 61 04 cc 03 e4 01 cc 03
